GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADKWE001,NAME_M,ADKWM001
"G1100010000100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000100",,,"Census Tract 1, District of Columbia, District of Columbia",5209,"Census Tract 1, District of Columbia, District of Columbia",403
"G1100010000201","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000201",,,"Census Tract 2.01, District of Columbia, District of Columbia",3685,"Census Tract 2.01, District of Columbia, District of Columbia",384
"G1100010000202","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000202",,,"Census Tract 2.02, District of Columbia, District of Columbia",4817,"Census Tract 2.02, District of Columbia, District of Columbia",560
"G1100010000300","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000300",,,"Census Tract 3, District of Columbia, District of Columbia",6095,"Census Tract 3, District of Columbia, District of Columbia",625
"G1100010000400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000400",,,"Census Tract 4, District of Columbia, District of Columbia",1578,"Census Tract 4, District of Columbia, District of Columbia",147
"G1100010000501","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000501",,,"Census Tract 5.01, District of Columbia, District of Columbia",3502,"Census Tract 5.01, District of Columbia, District of Columbia",338
"G1100010000502","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000502",,,"Census Tract 5.02, District of Columbia, District of Columbia",2973,"Census Tract 5.02, District of Columbia, District of Columbia",205
"G1100010000600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000600",,,"Census Tract 6, District of Columbia, District of Columbia",4722,"Census Tract 6, District of Columbia, District of Columbia",335
"G1100010000701","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000701",,,"Census Tract 7.01, District of Columbia, District of Columbia",5245,"Census Tract 7.01, District of Columbia, District of Columbia",490
"G1100010000702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000702",,,"Census Tract 7.02, District of Columbia, District of Columbia",3316,"Census Tract 7.02, District of Columbia, District of Columbia",391
"G1100010000801","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000801",,,"Census Tract 8.01, District of Columbia, District of Columbia",6575,"Census Tract 8.01, District of Columbia, District of Columbia",558
"G1100010000802","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000802",,,"Census Tract 8.02, District of Columbia, District of Columbia",3153,"Census Tract 8.02, District of Columbia, District of Columbia",305
"G1100010000901","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000901",,,"Census Tract 9.01, District of Columbia, District of Columbia",7790,"Census Tract 9.01, District of Columbia, District of Columbia",802
"G1100010000902","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000902",,,"Census Tract 9.02, District of Columbia, District of Columbia",2455,"Census Tract 9.02, District of Columbia, District of Columbia",192
"G1100010001001","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001001",,,"Census Tract 10.01, District of Columbia, District of Columbia",7894,"Census Tract 10.01, District of Columbia, District of Columbia",467
"G1100010001002","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001002",,,"Census Tract 10.02, District of Columbia, District of Columbia",3497,"Census Tract 10.02, District of Columbia, District of Columbia",456
"G1100010001100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001100",,,"Census Tract 11, District of Columbia, District of Columbia",4817,"Census Tract 11, District of Columbia, District of Columbia",315
"G1100010001200","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001200",,,"Census Tract 12, District of Columbia, District of Columbia",4908,"Census Tract 12, District of Columbia, District of Columbia",467
"G1100010001301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001301",,,"Census Tract 13.01, District of Columbia, District of Columbia",4016,"Census Tract 13.01, District of Columbia, District of Columbia",359
"G1100010001302","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001302",,,"Census Tract 13.02, District of Columbia, District of Columbia",7591,"Census Tract 13.02, District of Columbia, District of Columbia",617
"G1100010001401","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001401",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001401",,,"Census Tract 14.01, District of Columbia, District of Columbia",3369,"Census Tract 14.01, District of Columbia, District of Columbia",237
"G1100010001402","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001402",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001402",,,"Census Tract 14.02, District of Columbia, District of Columbia",3328,"Census Tract 14.02, District of Columbia, District of Columbia",285
"G1100010001500","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001500",,,"Census Tract 15, District of Columbia, District of Columbia",6350,"Census Tract 15, District of Columbia, District of Columbia",469
"G1100010001600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001600",,,"Census Tract 16, District of Columbia, District of Columbia",4175,"Census Tract 16, District of Columbia, District of Columbia",277
"G1100010001702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001702",,,"Census Tract 17.02, District of Columbia, District of Columbia",3083,"Census Tract 17.02, District of Columbia, District of Columbia",267
"G1100010001803","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001803",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001803",,,"Census Tract 18.03, District of Columbia, District of Columbia",4042,"Census Tract 18.03, District of Columbia, District of Columbia",348
"G1100010001804","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001804",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001804",,,"Census Tract 18.04, District of Columbia, District of Columbia",5619,"Census Tract 18.04, District of Columbia, District of Columbia",736
"G1100010001901","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001901",,,"Census Tract 19.01, District of Columbia, District of Columbia",3997,"Census Tract 19.01, District of Columbia, District of Columbia",402
"G1100010001902","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"001902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001001902",,,"Census Tract 19.02, District of Columbia, District of Columbia",2337,"Census Tract 19.02, District of Columbia, District of Columbia",244
"G1100010002001","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002001",,,"Census Tract 20.01, District of Columbia, District of Columbia",2848,"Census Tract 20.01, District of Columbia, District of Columbia",332
"G1100010002002","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002002",,,"Census Tract 20.02, District of Columbia, District of Columbia",3911,"Census Tract 20.02, District of Columbia, District of Columbia",537
"G1100010002101","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002101",,,"Census Tract 21.01, District of Columbia, District of Columbia",5859,"Census Tract 21.01, District of Columbia, District of Columbia",671
"G1100010002102","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002102",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002102",,,"Census Tract 21.02, District of Columbia, District of Columbia",4921,"Census Tract 21.02, District of Columbia, District of Columbia",470
"G1100010002201","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002201",,,"Census Tract 22.01, District of Columbia, District of Columbia",3704,"Census Tract 22.01, District of Columbia, District of Columbia",328
"G1100010002202","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002202",,,"Census Tract 22.02, District of Columbia, District of Columbia",3974,"Census Tract 22.02, District of Columbia, District of Columbia",546
"G1100010002301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002301",,,"Census Tract 23.01, District of Columbia, District of Columbia",3220,"Census Tract 23.01, District of Columbia, District of Columbia",382
"G1100010002302","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002302",,,"Census Tract 23.02, District of Columbia, District of Columbia",1711,"Census Tract 23.02, District of Columbia, District of Columbia",235
"G1100010002400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002400",,,"Census Tract 24, District of Columbia, District of Columbia",4257,"Census Tract 24, District of Columbia, District of Columbia",389
"G1100010002501","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002501",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002501",,,"Census Tract 25.01, District of Columbia, District of Columbia",2648,"Census Tract 25.01, District of Columbia, District of Columbia",373
"G1100010002502","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002502",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002502",,,"Census Tract 25.02, District of Columbia, District of Columbia",5852,"Census Tract 25.02, District of Columbia, District of Columbia",709
"G1100010002600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002600",,,"Census Tract 26, District of Columbia, District of Columbia",2573,"Census Tract 26, District of Columbia, District of Columbia",171
"G1100010002701","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002701",,,"Census Tract 27.01, District of Columbia, District of Columbia",5428,"Census Tract 27.01, District of Columbia, District of Columbia",574
"G1100010002702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002702",,,"Census Tract 27.02, District of Columbia, District of Columbia",6300,"Census Tract 27.02, District of Columbia, District of Columbia",620
"G1100010002801","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002801",,,"Census Tract 28.01, District of Columbia, District of Columbia",4033,"Census Tract 28.01, District of Columbia, District of Columbia",394
"G1100010002802","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002802",,,"Census Tract 28.02, District of Columbia, District of Columbia",4750,"Census Tract 28.02, District of Columbia, District of Columbia",513
"G1100010002900","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"002900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001002900",,,"Census Tract 29, District of Columbia, District of Columbia",4567,"Census Tract 29, District of Columbia, District of Columbia",390
"G1100010003000","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003000",,,"Census Tract 30, District of Columbia, District of Columbia",3534,"Census Tract 30, District of Columbia, District of Columbia",338
"G1100010003100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003100",,,"Census Tract 31, District of Columbia, District of Columbia",3350,"Census Tract 31, District of Columbia, District of Columbia",406
"G1100010003200","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003200",,,"Census Tract 32, District of Columbia, District of Columbia",4997,"Census Tract 32, District of Columbia, District of Columbia",547
"G1100010003301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003301",,,"Census Tract 33.01, District of Columbia, District of Columbia",3619,"Census Tract 33.01, District of Columbia, District of Columbia",389
"G1100010003302","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003302",,,"Census Tract 33.02, District of Columbia, District of Columbia",2338,"Census Tract 33.02, District of Columbia, District of Columbia",224
"G1100010003400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003400",,,"Census Tract 34, District of Columbia, District of Columbia",4716,"Census Tract 34, District of Columbia, District of Columbia",492
"G1100010003500","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003500",,,"Census Tract 35, District of Columbia, District of Columbia",5603,"Census Tract 35, District of Columbia, District of Columbia",585
"G1100010003600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003600",,,"Census Tract 36, District of Columbia, District of Columbia",5036,"Census Tract 36, District of Columbia, District of Columbia",642
"G1100010003700","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003700",,,"Census Tract 37, District of Columbia, District of Columbia",5860,"Census Tract 37, District of Columbia, District of Columbia",555
"G1100010003800","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003800",,,"Census Tract 38, District of Columbia, District of Columbia",4969,"Census Tract 38, District of Columbia, District of Columbia",549
"G1100010003900","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003900",,,"Census Tract 39, District of Columbia, District of Columbia",4492,"Census Tract 39, District of Columbia, District of Columbia",358
"G1100010004001","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004001",,,"Census Tract 40.01, District of Columbia, District of Columbia",4120,"Census Tract 40.01, District of Columbia, District of Columbia",441
"G1100010004002","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004002",,,"Census Tract 40.02, District of Columbia, District of Columbia",2998,"Census Tract 40.02, District of Columbia, District of Columbia",267
"G1100010004100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004100",,,"Census Tract 41, District of Columbia, District of Columbia",2759,"Census Tract 41, District of Columbia, District of Columbia",225
"G1100010004201","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004201",,,"Census Tract 42.01, District of Columbia, District of Columbia",3625,"Census Tract 42.01, District of Columbia, District of Columbia",283
"G1100010004202","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004202",,,"Census Tract 42.02, District of Columbia, District of Columbia",2635,"Census Tract 42.02, District of Columbia, District of Columbia",246
"G1100010004300","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004300",,,"Census Tract 43, District of Columbia, District of Columbia",3720,"Census Tract 43, District of Columbia, District of Columbia",297
"G1100010004400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004400",,,"Census Tract 44, District of Columbia, District of Columbia",5702,"Census Tract 44, District of Columbia, District of Columbia",376
"G1100010004600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004600",,,"Census Tract 46, District of Columbia, District of Columbia",2947,"Census Tract 46, District of Columbia, District of Columbia",308
"G1100010004701","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004701",,,"Census Tract 47.01, District of Columbia, District of Columbia",4478,"Census Tract 47.01, District of Columbia, District of Columbia",641
"G1100010004702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004702",,,"Census Tract 47.02, District of Columbia, District of Columbia",2558,"Census Tract 47.02, District of Columbia, District of Columbia",226
"G1100010004801","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004801",,,"Census Tract 48.01, District of Columbia, District of Columbia",2223,"Census Tract 48.01, District of Columbia, District of Columbia",284
"G1100010004802","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004802",,,"Census Tract 48.02, District of Columbia, District of Columbia",3548,"Census Tract 48.02, District of Columbia, District of Columbia",382
"G1100010004901","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004901",,,"Census Tract 49.01, District of Columbia, District of Columbia",2600,"Census Tract 49.01, District of Columbia, District of Columbia",301
