GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AD2DE001,AD2DE002,AD2DE003,AD2DE004,AD2DE005,AD2DE006,AD2DE007,AD2DE008,AD2DE009,AD2DE010,AD2DE011,AD2DE012,AD2DE013,AD2DE014,AD2DE015,AD2DE016,AD2DE017,AD2SE001,AD2SE002,AD2SE003,AD2SE004,AD2SE005,AD2SE006,AD2SE007,AD2SE008,AD2SE009,AD2SE010,AD2SE011,AD2SE012,AD2SE013,AD2SE014,AD2SE015,AD2SE016,AD2SE017,AD2SE018,AD2SE019,AD2SE020,AD2SE021,AD2SE022,AD2SE023,AD2SE024,AD2SE025,AD2SE026,AD2SE027,AD2SE028,AD2SE029,AD2SE030,AD2SE031,AD2SE032,AD2SE033,AD2SE034,AD2SE035,AD2SE036,AD2SE037,AD2SE038,AD2SE039,NAME_M,AD2DM001,AD2DM002,AD2DM003,AD2DM004,AD2DM005,AD2DM006,AD2DM007,AD2DM008,AD2DM009,AD2DM010,AD2DM011,AD2DM012,AD2DM013,AD2DM014,AD2DM015,AD2DM016,AD2DM017,AD2SM001,AD2SM002,AD2SM003,AD2SM004,AD2SM005,AD2SM006,AD2SM007,AD2SM008,AD2SM009,AD2SM010,AD2SM011,AD2SM012,AD2SM013,AD2SM014,AD2SM015,AD2SM016,AD2SM017,AD2SM018,AD2SM019,AD2SM020,AD2SM021,AD2SM022,AD2SM023,AD2SM024,AD2SM025,AD2SM026,AD2SM027,AD2SM028,AD2SM029,AD2SM030,AD2SM031,AD2SM032,AD2SM033,AD2SM034,AD2SM035,AD2SM036,AD2SM037,AD2SM038,AD2SM039
"G1100010000100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000100",,"Census Tract 1, District of Columbia, District of Columbia",5188,188,0,0,0,169,19,0,0,5000,386,404,157,3003,734,204,112,5209,2388,207,0,207,184,0,184,600,50,550,1040,0,1040,199,0,199,158,43,115,2821,142,0,142,414,0,414,906,0,906,979,12,967,222,0,222,158,71,87,"Census Tract 1, District of Columbia, District of Columbia",405,165,17,17,17,163,30,17,17,412,163,193,102,314,182,88,63,403,319,101,17,101,115,17,115,233,65,194,169,17,169,72,17,72,71,38,57,350,108,17,108,158,17,158,239,17,239,168,19,168,86,17,86,69,49,54
"G1100010000201","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000201",,"Census Tract 2.01, District of Columbia, District of Columbia",80,62,0,0,0,62,0,0,0,18,0,0,0,15,3,0,0,3653,1550,0,0,0,20,0,20,1501,89,1412,26,0,26,3,0,3,0,0,0,2103,0,0,0,7,0,7,2082,45,2037,14,0,14,0,0,0,0,0,0,"Census Tract 2.01, District of Columbia, District of Columbia",52,50,12,12,12,50,12,12,12,22,12,12,12,21,4,12,12,375,223,12,12,12,45,12,45,228,86,228,30,12,30,4,12,4,12,12,12,279,12,12,12,15,12,15,280,59,276,22,12,22,12,12,12,12,12,12
"G1100010000202","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000202",,"Census Tract 2.02, District of Columbia, District of Columbia",3903,880,0,0,10,847,23,0,0,3023,210,159,86,1777,616,103,72,4809,2187,95,0,95,167,9,158,1069,21,1048,611,54,557,152,0,152,93,53,40,2622,99,0,99,113,0,113,1409,14,1395,695,48,647,224,34,190,82,53,29,"Census Tract 2.02, District of Columbia, District of Columbia",484,336,12,12,15,332,26,12,12,321,93,69,81,271,111,44,64,562,368,49,12,49,74,16,72,343,22,343,138,54,128,60,12,60,50,40,30,501,54,12,54,73,12,73,504,23,498,109,39,110,58,33,49,47,41,27
"G1100010000300","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000300",,"Census Tract 3, District of Columbia, District of Columbia",6095,941,0,0,0,877,29,0,35,5154,401,284,67,3486,707,146,63,6095,2853,204,0,204,229,12,217,1239,0,1239,958,13,945,178,21,157,45,15,30,3242,179,0,179,140,0,140,1305,15,1290,1277,94,1183,142,0,142,199,146,53,"Census Tract 3, District of Columbia, District of Columbia",625,485,17,17,17,491,36,17,40,409,143,157,46,347,243,75,51,625,594,92,17,92,115,19,119,586,17,586,156,22,158,114,31,114,43,24,36,341,107,17,107,99,17,99,294,24,294,197,72,197,54,17,54,77,72,44
"G1100010000400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000400",,"Census Tract 4, District of Columbia, District of Columbia",1578,156,0,6,11,122,17,0,0,1422,60,124,81,728,323,75,31,1572,801,34,0,34,123,4,119,183,0,183,309,6,303,105,0,105,47,10,37,771,26,0,26,99,6,93,124,0,124,343,27,316,120,13,107,59,25,34,"Census Tract 4, District of Columbia, District of Columbia",147,81,12,9,16,61,24,12,12,127,42,36,45,92,81,33,24,146,101,34,12,34,47,6,47,74,12,74,59,7,58,40,12,40,22,12,18,92,26,12,26,28,8,26,47,12,47,68,22,67,39,14,38,26,19,19
"G1100010000501","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000501",,"Census Tract 5.01, District of Columbia, District of Columbia",3455,221,40,19,0,162,0,0,0,3234,165,76,49,2294,387,178,85,3502,1582,48,0,48,129,25,104,642,0,642,567,66,501,59,19,40,137,89,48,1920,100,0,100,72,0,72,784,0,784,687,0,687,151,55,96,126,54,72,"Census Tract 5.01, District of Columbia, District of Columbia",333,140,45,30,12,91,12,12,12,332,128,56,48,313,152,100,76,338,191,51,12,51,91,34,76,161,12,161,155,58,148,52,29,45,68,69,39,310,94,12,94,77,12,77,235,12,235,150,12,150,81,50,65,85,64,69
"G1100010000502","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000502",,"Census Tract 5.02, District of Columbia, District of Columbia",2973,63,0,0,0,42,11,0,10,2910,122,73,172,1955,416,127,45,2973,1186,46,0,46,103,0,103,346,0,346,507,14,493,120,6,114,64,0,64,1787,64,0,64,154,0,154,690,0,690,637,29,608,124,0,124,118,55,63,"Census Tract 5.02, District of Columbia, District of Columbia",205,42,12,12,12,33,16,12,16,205,50,29,59,207,99,61,43,205,140,31,12,31,46,12,46,92,12,92,58,16,61,48,10,48,38,12,38,190,42,12,42,51,12,51,179,12,179,99,27,93,39,12,39,51,44,36
"G1100010000600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000600",,"Census Tract 6, District of Columbia, District of Columbia",4498,400,0,27,26,347,0,0,0,4098,286,288,100,2290,858,195,81,4498,1959,123,0,123,214,0,214,317,0,317,958,28,930,207,28,179,140,40,100,2539,96,0,96,306,0,306,669,0,669,1101,0,1101,231,40,191,136,48,88,"Census Tract 6, District of Columbia, District of Columbia",326,172,12,39,38,146,12,12,12,337,126,106,79,303,191,69,43,332,215,87,12,87,62,12,62,117,12,117,149,34,156,68,32,64,57,26,54,242,64,12,64,90,12,90,164,12,164,202,12,202,70,40,67,66,37,65
"G1100010000701","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000701",,"Census Tract 7.01, District of Columbia, District of Columbia",5245,518,15,29,0,378,34,62,0,4727,302,109,25,2662,1127,349,153,5245,1854,50,0,50,140,0,140,460,0,460,694,69,625,362,37,325,148,13,135,3391,220,0,220,70,0,70,878,0,878,1345,16,1329,462,56,406,416,110,306,"Census Tract 7.01, District of Columbia, District of Columbia",490,213,24,47,17,178,39,73,17,504,146,98,38,367,205,137,89,490,289,50,17,50,107,17,107,162,17,162,166,53,164,106,44,108,85,23,83,360,111,17,111,82,17,82,266,17,266,219,24,220,115,54,107,122,68,116
"G1100010000702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001000702",,"Census Tract 7.02, District of Columbia, District of Columbia",3316,413,0,0,0,413,0,0,0,2903,124,53,37,2321,196,100,72,3316,1433,44,0,44,78,0,78,926,0,926,296,0,296,56,0,56,33,18,15,1883,80,0,80,12,0,12,959,11,948,586,19,567,107,39,68,139,18,121,"Census Tract 7.02, District of Columbia, District of Columbia",391,242,12,12,12,242,12,12,12,420,66,61,42,356,74,70,54,391,374,47,12,47,69,12,69,332,12,332,110,12,110,44,12,44,36,29,24,263,48,12,48,19,12,19,227,18,226,138,31,136,42,35,42,69,28,55
