GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,NAME_M,AUO6M001
"G1100010000101","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000101",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000101",,,"11001000101","Census Tract 1.01, District of Columbia, District of Columbia",1262,"Census Tract 1.01, District of Columbia, District of Columbia",167
"G1100010000102","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000102",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000102",,,"11001000102","Census Tract 1.02, District of Columbia, District of Columbia",2981,"Census Tract 1.02, District of Columbia, District of Columbia",456
"G1100010000201","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000201",,,"11001000201","Census Tract 2.01, District of Columbia, District of Columbia",3229,"Census Tract 2.01, District of Columbia, District of Columbia",38
"G1100010000202","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000202",,,"11001000202","Census Tract 2.02, District of Columbia, District of Columbia",4068,"Census Tract 2.02, District of Columbia, District of Columbia",572
"G1100010000300","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000300",,,"11001000300","Census Tract 3, District of Columbia, District of Columbia",5988,"Census Tract 3, District of Columbia, District of Columbia",746
"G1100010000400","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000400",,,"11001000400","Census Tract 4, District of Columbia, District of Columbia",1755,"Census Tract 4, District of Columbia, District of Columbia",315
"G1100010000501","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000501",,,"11001000501","Census Tract 5.01, District of Columbia, District of Columbia",3610,"Census Tract 5.01, District of Columbia, District of Columbia",500
"G1100010000502","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000502",,,"11001000502","Census Tract 5.02, District of Columbia, District of Columbia",3605,"Census Tract 5.02, District of Columbia, District of Columbia",556
"G1100010000600","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000600",,,"11001000600","Census Tract 6, District of Columbia, District of Columbia",4416,"Census Tract 6, District of Columbia, District of Columbia",511
"G1100010000702","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000702",,,"11001000702","Census Tract 7.02, District of Columbia, District of Columbia",3258,"Census Tract 7.02, District of Columbia, District of Columbia",437
"G1100010000703","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000703",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000703",,,"11001000703","Census Tract 7.03, District of Columbia, District of Columbia",2788,"Census Tract 7.03, District of Columbia, District of Columbia",378
"G1100010000704","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000704",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000704",,,"11001000704","Census Tract 7.04, District of Columbia, District of Columbia",2627,"Census Tract 7.04, District of Columbia, District of Columbia",358
"G1100010000802","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000802",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000802",,,"11001000802","Census Tract 8.02, District of Columbia, District of Columbia",3011,"Census Tract 8.02, District of Columbia, District of Columbia",439
"G1100010000803","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000803",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000803",,,"11001000803","Census Tract 8.03, District of Columbia, District of Columbia",2777,"Census Tract 8.03, District of Columbia, District of Columbia",356
"G1100010000804","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000804",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000804",,,"11001000804","Census Tract 8.04, District of Columbia, District of Columbia",3827,"Census Tract 8.04, District of Columbia, District of Columbia",642
"G1100010000902","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000902",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000902",,,"11001000902","Census Tract 9.02, District of Columbia, District of Columbia",2161,"Census Tract 9.02, District of Columbia, District of Columbia",407
"G1100010000903","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000903",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000903",,,"11001000903","Census Tract 9.03, District of Columbia, District of Columbia",3578,"Census Tract 9.03, District of Columbia, District of Columbia",174
"G1100010000904","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000904",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001000904",,,"11001000904","Census Tract 9.04, District of Columbia, District of Columbia",3123,"Census Tract 9.04, District of Columbia, District of Columbia",458
"G1100010001002","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001002",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001002",,,"11001001002","Census Tract 10.02, District of Columbia, District of Columbia",3588,"Census Tract 10.02, District of Columbia, District of Columbia",643
"G1100010001003","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001003",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001003",,,"11001001003","Census Tract 10.03, District of Columbia, District of Columbia",2994,"Census Tract 10.03, District of Columbia, District of Columbia",550
"G1100010001004","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001004",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001004",,,"11001001004","Census Tract 10.04, District of Columbia, District of Columbia",3938,"Census Tract 10.04, District of Columbia, District of Columbia",451
"G1100010001100","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001100",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001100",,,"11001001100","Census Tract 11, District of Columbia, District of Columbia",5002,"Census Tract 11, District of Columbia, District of Columbia",706
"G1100010001200","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001200",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001200",,,"11001001200","Census Tract 12, District of Columbia, District of Columbia",4882,"Census Tract 12, District of Columbia, District of Columbia",556
"G1100010001301","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001301",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001301",,,"11001001301","Census Tract 13.01, District of Columbia, District of Columbia",4042,"Census Tract 13.01, District of Columbia, District of Columbia",533
"G1100010001303","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001303",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001303",,,"11001001303","Census Tract 13.03, District of Columbia, District of Columbia",3718,"Census Tract 13.03, District of Columbia, District of Columbia",502
"G1100010001304","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001304",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001304",,,"11001001304","Census Tract 13.04, District of Columbia, District of Columbia",3823,"Census Tract 13.04, District of Columbia, District of Columbia",596
"G1100010001401","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001401",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001401",,,"11001001401","Census Tract 14.01, District of Columbia, District of Columbia",3278,"Census Tract 14.01, District of Columbia, District of Columbia",494
"G1100010001402","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001402",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001402",,,"11001001402","Census Tract 14.02, District of Columbia, District of Columbia",3521,"Census Tract 14.02, District of Columbia, District of Columbia",450
"G1100010001500","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001500",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001500",,,"11001001500","Census Tract 15, District of Columbia, District of Columbia",5607,"Census Tract 15, District of Columbia, District of Columbia",810
"G1100010001600","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001600",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001600",,,"11001001600","Census Tract 16, District of Columbia, District of Columbia",4889,"Census Tract 16, District of Columbia, District of Columbia",555
"G1100010001702","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001702",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001702",,,"11001001702","Census Tract 17.02, District of Columbia, District of Columbia",3417,"Census Tract 17.02, District of Columbia, District of Columbia",492
"G1100010001803","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001803",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001803",,,"11001001803","Census Tract 18.03, District of Columbia, District of Columbia",3758,"Census Tract 18.03, District of Columbia, District of Columbia",658
"G1100010001804","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001804",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001804",,,"11001001804","Census Tract 18.04, District of Columbia, District of Columbia",5454,"Census Tract 18.04, District of Columbia, District of Columbia",1102
"G1100010001901","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001901",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001901",,,"11001001901","Census Tract 19.01, District of Columbia, District of Columbia",4655,"Census Tract 19.01, District of Columbia, District of Columbia",819
"G1100010001902","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"001902",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001001902",,,"11001001902","Census Tract 19.02, District of Columbia, District of Columbia",2214,"Census Tract 19.02, District of Columbia, District of Columbia",280
"G1100010002001","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002001",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002001",,,"11001002001","Census Tract 20.01, District of Columbia, District of Columbia",2941,"Census Tract 20.01, District of Columbia, District of Columbia",760
"G1100010002002","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002002",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002002",,,"11001002002","Census Tract 20.02, District of Columbia, District of Columbia",4019,"Census Tract 20.02, District of Columbia, District of Columbia",585
"G1100010002101","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002101",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002101",,,"11001002101","Census Tract 21.01, District of Columbia, District of Columbia",5453,"Census Tract 21.01, District of Columbia, District of Columbia",1144
"G1100010002102","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002102",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002102",,,"11001002102","Census Tract 21.02, District of Columbia, District of Columbia",5702,"Census Tract 21.02, District of Columbia, District of Columbia",1081
