GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,TL_GEO_ID,NAME_E,AU84E001,AU84E002,AU84E003,AU84E004,AU84E005,AU84E006,AU84E007,AU84E008,AU84E009,AU84E010,AU84E011,AU84E012,AU84E013,AU84E014,AU84E015,AU84E016,AU84E017,AU9JE001,AU9JE002,AU9JE003,AU9JE004,AU9JE005,AU9JE006,AU9JE007,AU9JE008,AU9JE009,AU9JE010,AU9JE011,AU9JE012,AU9JE013,AU9JE014,AU9JE015,AU9JE016,AU9JE017,AU9JE018,AU9JE019,AU9JE020,AU9JE021,AU9JE022,AU9JE023,AU9JE024,AU9JE025,AU9JE026,AU9JE027,AU9JE028,AU9JE029,AU9JE030,AU9JE031,AU9JE032,AU9JE033,AU9JE034,AU9JE035,AU9JE036,AU9JE037,AU9JE038,AU9JE039,NAME_M,AU84M001,AU84M002,AU84M003,AU84M004,AU84M005,AU84M006,AU84M007,AU84M008,AU84M009,AU84M010,AU84M011,AU84M012,AU84M013,AU84M014,AU84M015,AU84M016,AU84M017,AU9JM001,AU9JM002,AU9JM003,AU9JM004,AU9JM005,AU9JM006,AU9JM007,AU9JM008,AU9JM009,AU9JM010,AU9JM011,AU9JM012,AU9JM013,AU9JM014,AU9JM015,AU9JM016,AU9JM017,AU9JM018,AU9JM019,AU9JM020,AU9JM021,AU9JM022,AU9JM023,AU9JM024,AU9JM025,AU9JM026,AU9JM027,AU9JM028,AU9JM029,AU9JM030,AU9JM031,AU9JM032,AU9JM033,AU9JM034,AU9JM035,AU9JM036,AU9JM037,AU9JM038,AU9JM039
"G1100010000101","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000101",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000101",,"11001000101","Census Tract 1.01, District of Columbia, District of Columbia",1262,22,0,0,0,15,7,0,0,1240,99,33,0,664,269,150,25,1262,524,38,0,38,22,0,22,72,0,72,180,13,167,130,7,123,82,0,82,738,61,0,61,11,0,11,186,0,186,324,0,324,63,0,63,93,17,76,"Census Tract 1.01, District of Columbia, District of Columbia",167,18,15,15,15,17,11,15,15,168,61,24,15,117,103,71,23,167,113,32,15,32,19,15,19,38,15,38,62,15,61,78,10,83,55,15,55,140,41,15,41,12,15,12,85,15,85,102,15,102,54,15,54,54,19,52
"G1100010000102","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000102",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000102",,"11001000102","Census Tract 1.02, District of Columbia, District of Columbia",2981,149,0,0,0,2,13,134,0,2832,120,89,57,1469,685,266,146,2981,1372,79,0,79,50,0,50,313,18,295,596,16,580,261,66,195,73,14,59,1609,41,0,41,96,0,96,222,10,212,673,10,663,104,11,93,473,158,315,"Census Tract 1.02, District of Columbia, District of Columbia",456,138,15,15,15,4,20,136,15,435,83,62,51,281,294,105,106,456,302,72,15,72,54,15,54,119,26,118,221,21,214,154,66,134,51,22,42,329,41,15,41,64,15,64,71,17,65,234,18,234,57,18,54,196,110,151
"G1100010000201","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000201",,"11001000201","Census Tract 2.01, District of Columbia, District of Columbia",61,61,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,3229,1271,0,0,0,7,0,7,1264,57,1207,0,0,0,0,0,0,0,0,0,1958,0,0,0,7,0,7,1951,157,1794,0,0,0,0,0,0,0,0,0,"Census Tract 2.01, District of Columbia, District of Columbia",4,4,15,15,15,4,15,15,15,15,15,15,15,15,15,15,15,38,215,15,15,15,16,15,16,216,49,214,15,15,15,15,15,15,15,15,15,212,15,15,15,16,15,16,213,108,176,15,15,15,15,15,15,15,15,15
"G1100010000202","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000202",,"11001000202","Census Tract 2.02, District of Columbia, District of Columbia",3244,443,0,18,0,397,28,0,0,2801,110,60,53,1403,891,223,61,4044,2020,93,0,93,113,0,113,927,13,914,535,40,495,164,12,152,188,79,109,2024,0,0,0,35,13,22,824,86,738,834,14,820,235,16,219,96,23,73,"Census Tract 2.02, District of Columbia, District of Columbia",571,173,15,31,15,157,43,15,15,530,61,56,49,290,391,85,56,575,322,54,15,54,70,15,70,200,23,201,178,41,180,90,19,87,81,79,50,451,15,15,15,38,18,33,179,54,164,381,22,380,128,19,125,73,35,69
"G1100010000300","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000300",,"11001000300","Census Tract 3, District of Columbia, District of Columbia",5988,281,18,22,0,241,0,0,0,5707,501,499,495,3349,604,259,0,5988,2938,120,0,120,619,30,589,684,0,684,1160,21,1139,296,55,241,59,0,59,3050,335,0,335,461,42,419,706,9,697,1189,0,1189,159,0,159,200,44,156,"Census Tract 3, District of Columbia, District of Columbia",746,143,27,34,21,114,21,21,21,713,218,181,204,498,225,111,21,746,500,79,21,79,205,49,199,243,21,243,234,34,231,192,50,188,52,21,52,395,183,21,183,182,39,183,192,14,189,171,21,171,72,21,72,95,58,84
"G1100010000400","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000400",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000400",,"11001000400","Census Tract 4, District of Columbia, District of Columbia",1755,275,0,0,3,185,80,7,0,1480,72,68,179,754,205,118,84,1755,865,43,0,43,82,7,75,185,14,171,397,102,295,53,7,46,105,32,73,890,23,0,23,174,0,174,174,0,174,364,6,358,51,0,51,104,50,54,"Census Tract 4, District of Columbia, District of Columbia",315,146,15,15,5,127,93,11,15,317,50,50,138,192,62,41,53,315,153,33,15,33,41,10,43,89,18,84,121,103,79,32,15,29,36,22,32,233,21,15,21,135,15,135,67,15,67,120,11,120,30,15,30,50,43,22
"G1100010000501","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000501",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000501",,"11001000501","Census Tract 5.01, District of Columbia, District of Columbia",3591,242,0,0,0,203,39,0,0,3349,117,216,0,2395,419,202,0,3610,1574,50,0,50,125,0,125,414,19,395,730,36,694,226,86,140,29,0,29,2036,52,0,52,106,0,106,844,35,809,704,14,690,157,21,136,173,40,133,"Census Tract 5.01, District of Columbia, District of Columbia",500,247,15,15,15,244,38,15,15,423,79,91,15,358,153,109,15,500,349,39,15,39,97,15,97,165,26,161,309,47,302,106,88,80,28,15,28,419,56,15,56,55,15,55,307,42,304,174,17,174,91,29,85,97,61,87
"G1100010000502","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000502",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000502",,"11001000502","Census Tract 5.02, District of Columbia, District of Columbia",3605,263,0,12,85,132,34,0,0,3342,415,363,49,1861,423,164,67,3605,1526,224,0,224,117,13,104,223,26,197,761,19,742,112,11,101,89,62,27,2079,118,0,118,465,0,465,470,10,460,737,34,703,147,2,145,142,65,77,"Census Tract 5.02, District of Columbia, District of Columbia",556,194,15,23,127,74,56,15,15,562,190,197,31,373,93,73,44,556,294,151,15,151,77,22,76,78,19,76,205,20,205,55,18,52,53,54,28,399,86,15,86,242,15,242,160,16,159,164,56,154,38,4,37,65,38,53
"G1100010000600","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000600",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000600",,"11001000600","Census Tract 6, District of Columbia, District of Columbia",4342,144,0,0,29,115,0,0,0,4198,273,315,404,2265,581,271,89,4342,1765,0,0,0,349,0,349,245,9,236,806,16,790,191,26,165,174,61,113,2577,234,0,234,438,0,438,550,23,527,959,39,920,210,45,165,186,49,137,"Census Tract 6, District of Columbia, District of Columbia",511,125,15,15,47,106,15,15,15,516,178,146,140,337,198,123,63,511,267,15,15,15,126,15,126,109,18,114,197,26,199,85,30,86,105,87,59,414,172,15,172,134,15,134,236,32,220,230,55,240,68,34,69,81,42,68
"G1100010000702","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"000702",,,,,,,,,,,,,,,,,,,,,,"1400000US11001000702",,"11001000702","Census Tract 7.02, District of Columbia, District of Columbia",3258,294,0,19,0,222,37,16,0,2964,66,130,92,2187,322,155,12,3258,1615,14,0,14,195,55,140,572,79,493,577,38,539,165,0,165,92,26,66,1643,52,0,52,46,0,46,917,24,893,484,0,484,53,16,37,91,0,91,"Census Tract 7.02, District of Columbia, District of Columbia",437,159,15,31,15,144,50,26,15,451,70,113,159,369,230,113,21,437,275,23,15,23,90,85,48,174,84,148,158,43,150,189,15,189,69,33,63,327,63,15,63,80,15,80,241,27,239,184,15,184,44,23,37,96,15,96
