"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DX70","DX90","EMXT","TAVG","TMAX","WSFG"
"USC00182325","DALECARLIA RESERVOIR, MD US","38.9385","-77.1134","45.7","2015",,"       172","        33","95","56.3","65.9",
"USC00180700","BELTSVILLE, MD US","39.0302","-76.9315","44.2","2015",,"       178","        21","94","55.9","65.6",
"US1MDHW0021","NORTH LAUREL 1.5 ESE, MD US","39.1333059","-76.843421","86.0","2015",,,,,,,
"US1MDMG0029","CLARKSBURG 2.1 NE, MD US","39.249314","-77.243724","207.9","2015",,,,,,,
"US1MDHW0018","COLUMBIA 2.3 N, MD US","39.2361","-76.8605","124.1","2015",,,,,,,
"US1MDMG0068","GAITHERSBURG 2.5 SW, MD US","39.1205","-77.254","122.8","2015",,,,,,,
"USC00186800","OXON HILL, MD US","38.7955","-76.99481","57.9","2015",,"       183","        25","94","57.2","66.7",
"US1VAFX0063","ALEXANDRIA 5.6 SSW, VA US","38.731065","-77.088951","14.9","2015",,,,,,,
"US1VAFX0064","FALLS CHURCH 1.6 W, VA US","38.8875","-77.2041","141.4","2015",,,,,,,
"US1MDAA0001","BIRDSVILLE 0.2 WSW, MD US","38.89776","-76.59653","46.0","2015",,,,,,,
"US1MDPG0049","FORT WASHINGTON 1.6 WSW, MD US","38.726394","-77.028948","11.3","2015",,,,,,,
"US1MDAA0003","LAUREL 2.7 E, MD US","39.099843","-76.809011","69.2","2015",,,,,,,
"US1MDMG0065","POOLESVILLE 0.4 SE, MD US","39.140067","-77.404641","113.4","2015",,,,,,,
"US1MDAA0004","SEVERN 2.0 W, MD US","39.1321","-76.728","68.3","2015",,,,,,,
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2015",,,,,,,
"US1MDMG0083","SILVER SPRING 4.7 NNW, MD US","39.0479","-77.0743","100.3","2015",,,,,,,
"US1VAFX0033","FRANCONIA 1.3 SSE, VA US","38.7462","-77.1386","17.1","2015",,,,,,,
"USC00182336","DAMASCUS 3 SSW, MD US","39.26495","-77.23196","213.4","2015",,"       159","         8","91","54.3","63.0",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2015","5.8","       182","        26","97","56.1","66.2",
"US1VAPW0013","MANASSAS 5.3 SE, VA US","38.68443298","-77.42987061","86.0","2015",,,,,,,
"USC00448737","VIENNA, VA US","38.89205","-77.28913","118.9","2015",,"       186","        44","100","56.7","66.6",
"US1MDHW0007","JESSUP 3.0 W, MD US","39.154261","-76.82813","96.9","2015",,,,,,,
"USC00181125","BRIGHTON DAM, MD US","39.1911","-77.0069","100.6","2015",,"       172","        11","92",,"64.1",
"US1VAPW0014","MANASSAS 5.8 SE, VA US","38.6804","-77.4206","108.2","2015",,,,,,,
"USW00093738","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","38.93485","-77.44728","89.5","2015","6.7","       178","        21","94","55.7","66.1",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2015","8.1","       190","        52","98","60.1","68.6",
"US1MDMG0008","GAITHERSBURG 2 WNW, MD US","39.1516","-77.2368","115.8","2015",,,,,,,
"US1MDMG0003","POTOMAC 0.9 NNW, MD US","39.0372","-77.2075","96.9","2015",,,,,,,
"US1VAFX0041","MCLEAN 2.3 SE, VA US","38.91802","-77.1434","83.2","2015",,,,,,,
"US1MDMG0042","TAKOMA PARK 0.6 NNW, MD US","38.990164","-77.008138","75.0","2015",,,,,,,
"US1MDAA0039","PASADENA 2.6 ESE, MD US","39.091628","-76.511171","10.7","2015",,,,,,,
"USC00189070","UPPER MARLBORO 3 NNW, MD US","38.8519","-76.7683","39.6","2015",,"       187","        34","96","56.1","66.9",
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2015",,"       171","        20","95",,"65.4",
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2015",,"       163","         7","93","57.2","64.3",
"US1MDCH0035","WALDORF 3.3 S, MD US","38.5943","-76.9145","61.0","2015",,,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","38.91329","-76.97009","15.2","2015",,"       193","        48","97","58.7","68.3",
"US1VAFX0051","VIENNA 1.3 W, VA US","38.903","-77.2836","113.1","2015",,,,,,,
"USC00185865","MECHANICSVILLE 5 NE, MD US","38.4927","-76.7259","30.5","2015",,"       179","         6","91","55.1","65.1",
"US1VAFX0052","MCLEAN 1.5 S, VA US","38.916671","-77.182188","89.9","2015",,,,,,,
"US1VAFX0053","MCLEAN 2.4 SSE, VA US","38.9083619","-77.1549129","121.9","2015",,,,,,,
"US1MDMG0055","ROSSMOOR 1.3 ESE, MD US","39.097415","-77.04873","132.0","2015",,,,,,,
"USC00445204","MANASSAS, VA US","38.73332","-77.49263","74.7","2015",,,,,,,
"US1MDMG0054","GERMANTOWN 4.6 NNE, MD US","39.2385","-77.22577","195.1","2015",,,,,,,
