"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DX70","DX90","EMXT","TAVG","TMAX"
"US1VAFX0105","ALEXANDRIA 6.8 S, VA US","38.7228","-77.077","4.9","2025",,,,,
"US1MDCV0028","PRINCE FREDERICK 2.6 NW, MD US","38.570843","-76.626994","9.4","2025",,,,,
"USC00182325","DALECARLIA RESERVOIR, MD US","38.9385","-77.1134","45.7","2025",,,,,
"USC00180700","BELTSVILLE, MD US","39.0302","-76.9315","44.2","2025","       179","        35","99","56.0","66.0"
"US1DCDC0014","WASHINGTON 5.1 NW, DC US","38.958091","-77.08173","106.4","2025",,,,,
"US1MDHW0021","NORTH LAUREL 1.5 ESE, MD US","39.1333059","-76.843421","86.0","2025",,,,,
"US1MDMG0029","CLARKSBURG 2.1 NE, MD US","39.249314","-77.243724","207.9","2025",,,,,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","39.080732","-77.008126","125.0","2025",,,,,
"US1MDMG0148","SANDY SPRING 1.6 W, MD US","39.152785","-77.041789","145.4","2025",,,,,
"US1VAFX0063","ALEXANDRIA 5.6 SSW, VA US","38.731065","-77.088951","14.9","2025",,,,,
"US1VAFX0064","FALLS CHURCH 1.6 W, VA US","38.8875","-77.2041","141.4","2025",,,,,
"US1MDSM0018","MECHANICSVILLE 3.8 N, MD US","38.4852826","-76.7339102","36.6","2025",,,,,
"US1MDAA0004","SEVERN 2.0 W, MD US","39.1321","-76.728","68.3","2025",,,,,
"US1MDMG0063","GAITHERSBURG 3.1 NE, MD US","39.17806","-77.18306","136.9","2025",,,,,
"US1VAFX0033","FRANCONIA 1.3 SSE, VA US","38.7462","-77.1386","17.1","2025",,,,,
"USW00093728","DAVISON ARMY AIR FIELD, VA US","38.71667","-77.18333","22.3","2025","       179","        32","100","58.3","68.1"
"USC00182336","DAMASCUS 3 SSW, MD US","39.26495","-77.23196","213.4","2025","       166","        15","95","54.6","63.3"
"US1MDHW0012","SYKESVILLE 2.6 SE, MD US","39.338655","-76.946837","166.1","2025",,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2025","       183","        29","99","56.7","66.4"
"US1MDHW0054","COLUMBIA 3.3 SSE, MD US","39.157982","-76.835281","95.4","2025",,,,,
"US1VAPW0010","WOODBRIDGE 5.9 NW, VA US","38.699141","-77.335467","69.8","2025",,,,,
"US1DCDC0040","WASHINGTON 2.2 ESE, DC US","38.8965206","-76.9769113","8.2","2025",,,,,
"USC00448737","VIENNA, VA US","38.89205","-77.28913","118.9","2025","       165","         9","93","53.9","63.5"
"US1MDMG0154","GAITHERSBURG 2.4 E, MD US","39.1441","-77.1723","157.9","2025",,,,,
"US1MDCV0021","NORTH BEACH 1.8 WNW, MD US","38.715468","-76.56774","38.7","2025",,,,,
"US1MDPG0072","LAUREL 2.5 WNW, MD US","39.109965","-76.902013","113.1","2025",,,,,
"US1VAFXC001","FAIRFAX 1.0 N, VA US","38.8679","-77.2999","109.7","2025",,,,,
"USW00093738","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US","38.93485","-77.44728","89.5","2025","       186","        33","97","56.4","66.8"
"US1VAFX0121","FAIRFAX 3.2 W, VA US","38.85101","-77.357858","128.3","2025",,,,,
"US1MDHW0048","MOUNT AIRY 5.4 SE, MD US","39.3281266","-77.0776494","166.4","2025",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2025","       187","        36","99","59.4","67.8"
"US1MDHW0003","ELKRIDGE 1.8 W, MD US","39.2021","-76.7843","103.9","2025",,,,,
"US1MDHW0047","GLENWOOD 1.2 SSW, MD US","39.271389","-77.03722","150.9","2025",,,,,
"US1VAFX0129","ALEXANDRIA 4.0 SW, VA US","38.77384","-77.12996","41.5","2025",,,,,
"US1MDHW0044","SYKESVILLE 2.2 SSE, MD US","39.339729","-76.961685","154.8","2025",,,,,
"US1MDMG0005","NORBECK 1.1 ESE, MD US","39.1023","-77.0574","134.1","2025",,,,,
"US1MDMG0042","TAKOMA PARK 0.6 NNW, MD US","38.990164","-77.008138","75.0","2025",,,,,
"US1MDPG0100","COLLEGE PARK 0.7 NE, MD US","39.00350123","-76.92647985","29.0","2025",,,,,
"US1VAAR0016","ARLINGTON 3.3 WNW, VA US","38.892","-77.1617","109.7","2025",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2025","       175","        31","97",,"66.4"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2025","       159","        12","95","57.2","64.3"
"USC00186350","NATIONAL ARBORETUM DC, MD US","38.91329","-76.97009","15.2","2025",,,,,
"US1MDAA0071","CROFTON 1.1 SSE, MD US","38.997832","-76.677016","45.1","2025",,,,,
"USW00013705","CAMP SPRINGS ANDREWS AFB, MD US","38.81667","-76.86667","86.0","2025","       175","        21","97","58.1","66.6"
"US1MDMG0138","MONTGOMERY VILLAGE 1.1 ENE, MD US","39.189867","-77.175933","155.1","2025",,,,,
"USC00185865","MECHANICSVILLE 5 NE, MD US","38.4927","-76.7259","30.5","2025","       166","        12","95","55.2","65.0"
"US1VAFX0054","FAIRFAX 4.1 W, VA US","38.8646","-77.3732","133.5","2025",,,,,
"USC00445204","MANASSAS, VA US","38.73332","-77.49263","74.7","2025",,,,,
"US1MDAA0035","LINTHICUM 0.4 ENE, MD US","39.2082","-76.6586","53.0","2025",,,,,
